"","X1","X2","FEDENAME","FEDNAME","FEDFNAME","PRNAME"
"0",-73.6106657471254,45.5105481961448,"Outremont","Outremont","Outremont","Quebec / Québec"
"1",-73.6184023876385,45.5465368755449,"Papineau","Papineau","Papineau","Quebec / Québec"
"2",-73.8194952525036,45.4942996124254,"Pierrefonds--Dollard","Pierrefonds--Dollard","Pierrefonds--Dollard","Quebec / Québec"
"3",-76.582090454804,46.6014664805622,"Pontiac","Pontiac","Pontiac","Quebec / Québec"
"4",-71.8670220496937,47.1282982750556,"Portneuf--Jacques-Cartier","Portneuf--Jacques-Cartier","Portneuf--Jacques-Cartier","Quebec / Québec"
"5",-71.2703252605695,46.8093895241379,"Québec","Québec","Québec","Quebec / Québec"
"6",-73.4341959703818,45.8234476924747,"Repentigny","Repentigny","Repentigny","Quebec / Québec"
"7",-71.9407349247358,45.8535912920052,"Richmond--Arthabaska","Richmond--Arthabaska","Richmond--Arthabaska","Quebec / Québec"
"8",-73.9031870009754,45.5906040663535,"Rivière-des-Mille-Îles","Rivière-des-Mille-Îles","Rivière-des-Mille-Îles","Quebec / Québec"
"9",-73.5915312222677,45.4464593691067,"LaSalle--Émard--Verdun","LaSalle--Émard--Verdun","LaSalle--Émard--Verdun","Quebec / Québec"
"10",-75.0842564788015,46.7787562151153,"Laurentides--Labelle","Laurentides--Labelle","Laurentides--Labelle","Quebec / Québec"
"11",-73.5664462037046,45.5261141798378,"Laurier--Sainte-Marie","Laurier--Sainte-Marie","Laurier--Sainte-Marie","Quebec / Québec"
"12",-73.8201304352492,45.5396070798928,"Laval--Les Îles","Laval--Les Îles","Laval--Les Îles","Quebec / Québec"
"13",-73.4487001756542,45.4883530933078,"Longueuil--Charles-LeMoyne","Longueuil--Charles-LeMoyne","Longueuil--Charles-LeMoyne","Quebec / Québec"
"14",-71.4954046256476,46.5253757969272,"Lévis--Lotbinière","Lévis--Lotbinière","Lévis--Lotbinière","Quebec / Québec"
"15",-73.4460345967372,45.5342394834452,"Longueuil--Saint-Hubert","Longueuil--Saint-Hubert","Longueuil--Saint-Hubert","Quebec / Québec"
"16",-71.3656100783751,46.7815401888967,"Louis-Hébert","Louis-Hébert","Louis-Hébert","Quebec / Québec"
"17",-71.4093566621256,46.8473568395775,"Louis-Saint-Laurent","Louis-Saint-Laurent","Louis-Saint-Laurent","Quebec / Québec"
"18",-65.8706895155753,51.5524577910489,"Manicouagan","Manicouagan","Manicouagan","Quebec / Québec"
"19",-71.2152194610123,45.9039287334591,"Mégantic--L'Érable","Mégantic--L'Érable","Mégantic--L'Érable","Quebec / Québec"
"20",-74.046611815151,45.6474815528205,"Mirabel","Mirabel","Mirabel","Quebec / Québec"
"21",-73.3275623495668,45.5441627506175,"Montarville","Montarville","Montarville","Quebec / Québec"
"22",-73.6794077738085,45.9002399274513,"Montcalm","Montcalm","Montcalm","Quebec / Québec"
"23",-69.8615390943014,47.2506181820736,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup","Montmagny--L'Islet--Kamouraska--Rivière-du-Loup","Montmagny--L'Islet--Kamouraska--Rivière-du-Loup","Quebec / Québec"
"24",-73.6042571996125,45.5828855116503,"Saint-Léonard--Saint-Michel","Saint-Léonard--Saint-Michel","Saint-Léonard--Saint-Michel","Quebec / Québec"
"25",-73.8140631375122,47.816848608108,"Saint-Maurice--Champlain","Saint-Maurice--Champlain","Saint-Maurice--Champlain","Quebec / Québec"
"26",-74.0121384835359,45.0995462390804,"Salaberry--Suroît","Salaberry--Suroît","Salaberry--Suroît","Quebec / Québec"
"27",-72.6294293812877,45.4286882502958,"Shefford","Shefford","Shefford","Quebec / Québec"
"28",-71.902020231389,45.4062714590768,"Sherbrooke","Sherbrooke","Sherbrooke","Quebec / Québec"
"29",-74.1788340684473,45.4160476642017,"Vaudreuil--Soulanges","Vaudreuil--Soulanges","Vaudreuil--Soulanges","Quebec / Québec"
"30",-73.6862973888343,45.7333738725618,"Terrebonne","Terrebonne","Terrebonne","Quebec / Québec"
"31",-72.616476216272,46.3601020392664,"Trois-Rivières","Trois-Rivières","Trois-Rivières","Quebec / Québec"
"32",-73.5677714245755,45.491528580086,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs","Ville-Marie--Le Sud-Ouest--Île-des-Soeurs","Ville-Marie--Le Sud-Ouest--Île-des-Soeurs","Quebec / Québec"
"33",-73.731760551471,45.5611008539559,"Vimy","Vimy","Vimy","Quebec / Québec"
"34",-80.107424997934,43.9828254199267,"Dufferin--Caledon","Dufferin--Caledon","Dufferin--Caledon","Ontario"
"35",-78.8591708741507,44.0574819323518,"Durham","Durham","Durham","Ontario"
"36",-81.2017148417078,42.7842091119335,"Elgin--Middlesex--London","Elgin--Middlesex--London","Elgin--Middlesex--London","Ontario"
"37",-82.8474789136053,42.14521964177,"Essex","Essex","Essex","Ontario"
"38",-79.552537678517,43.664414140736,"Etobicoke Centre","Etobicoke Centre / Etobicoke-Centre","Etobicoke-Centre","Ontario"
"39",-79.5208350363192,43.6217369785987,"Etobicoke--Lakeshore","Etobicoke--Lakeshore","Etobicoke--Lakeshore","Ontario"
"40",-79.5845609584669,43.7194437008674,"Etobicoke North","Etobicoke North / Etobicoke-Nord","Etobicoke-Nord","Ontario"
"41",-53.4138161588198,47.1325939585272,"Avalon","Avalon","Avalon","Newfoundland and Labrador / Terre-Neuve-et-Labrador"
"42",-54.2472324771373,48.1402649819849,"Bonavista--Burin--Trinity","Bonavista--Burin--Trinity","Bonavista--Burin--Trinity","Newfoundland and Labrador / Terre-Neuve-et-Labrador"
"43",-55.9039179641652,48.645931781678,"Coast of Bays--Central--Notre Dame","Coast of Bays--Central--Notre Dame","Coast of Bays--Central--Notre Dame","Newfoundland and Labrador / Terre-Neuve-et-Labrador"
"44",-62.0206781460437,54.2513868499476,"Labrador","Labrador","Labrador","Newfoundland and Labrador / Terre-Neuve-et-Labrador"
"45",-57.4871057780386,49.3303527285866,"Long Range Mountains","Long Range Mountains","Long Range Mountains","Newfoundland and Labrador / Terre-Neuve-et-Labrador"
"46",-52.7774455646097,47.6486775032635,"St. John's East","St. John's East / St. John's-Est","St. John's-Est","Newfoundland and Labrador / Terre-Neuve-et-Labrador"
"47",-52.8046713759148,47.4411859985372,"St. John's South--Mount Pearl","St. John's South--Mount Pearl / St. John's-Sud--Mount Pearl","St. John's-Sud--Mount Pearl","Newfoundland and Labrador / Terre-Neuve-et-Labrador"
"48",-62.645772951652,46.2562717384556,"Cardigan","Cardigan","Cardigan","Prince Edward Island / Île-du-Prince-Édouard"
"49",-63.1350682841383,46.266390585556,"Charlottetown","Charlottetown","Charlottetown","Prince Edward Island / Île-du-Prince-Édouard"
"50",-64.0820019766964,46.6729257596501,"Egmont","Egmont","Egmont","Prince Edward Island / Île-du-Prince-Édouard"
"51",-63.4299133944976,46.3453028470179,"Malpeque","Malpeque","Malpeque","Prince Edward Island / Île-du-Prince-Édouard"
"52",-60.8245194629691,45.9913510930333,"Cape Breton--Canso","Cape Breton--Canso","Cape Breton--Canso","Nova Scotia / Nouvelle-Écosse"
"53",-62.5797826841149,45.2478056772911,"Central Nova","Central Nova / Nova-Centre","Nova-Centre","Nova Scotia / Nouvelle-Écosse"
"54",-63.7476079654992,45.5424127653472,"Cumberland--Colchester","Cumberland--Colchester","Cumberland--Colchester","Nova Scotia / Nouvelle-Écosse"
"55",-63.54291673114,44.684576017885,"Dartmouth--Cole Harbour","Dartmouth--Cole Harbour","Dartmouth--Cole Harbour","Nova Scotia / Nouvelle-Écosse"
"56",-63.606123085039,44.5563939760651,"Halifax","Halifax","Halifax","Nova Scotia / Nouvelle-Écosse"
"57",-63.7509336453965,44.7258281541624,"Halifax West","Halifax West / Halifax-Ouest","Halifax-Ouest","Nova Scotia / Nouvelle-Écosse"
"58",-64.030338908478,45.0520245374683,"Kings--Hants","Kings--Hants","Kings--Hants","Nova Scotia / Nouvelle-Écosse"
"59",-63.514205467931,44.7853921756378,"Sackville--Preston--Chezzetcook","Sackville--Preston--Chezzetcook","Sackville--Preston--Chezzetcook","Nova Scotia / Nouvelle-Écosse"
"60",-64.8300082867694,44.2378728527436,"South Shore--St. Margarets","South Shore--St. Margarets","South Shore--St. Margarets","Nova Scotia / Nouvelle-Écosse"
"61",-60.6575578772975,46.5392805630748,"Sydney--Victoria","Sydney--Victoria","Sydney--Victoria","Nova Scotia / Nouvelle-Écosse"
"62",-65.4779777978992,44.4396177623282,"West Nova","West Nova / Nova-Ouest","Nova-Ouest","Nova Scotia / Nouvelle-Écosse"
"63",-65.5218084162157,47.5787121869996,"Acadie--Bathurst","Acadie--Bathurst","Acadie--Bathurst","New Brunswick / Nouveau-Brunswick"
"64",-64.6128218742159,46.251153115956,"Beauséjour","Beauséjour","Beauséjour","New Brunswick / Nouveau-Brunswick"
"65",-66.3482866703718,45.9668169103578,"Fredericton","Fredericton","Fredericton","New Brunswick / Nouveau-Brunswick"
"66",-65.3561547814979,45.7975175389784,"Fundy Royal","Fundy Royal","Fundy Royal","New Brunswick / Nouveau-Brunswick"
"67",-67.3965543926061,47.6444732550759,"Madawaska--Restigouche","Madawaska--Restigouche","Madawaska--Restigouche","New Brunswick / Nouveau-Brunswick"
"68",-65.9083613359599,46.8259737974235,"Miramichi--Grand Lake","Miramichi--Grand Lake","Miramichi--Grand Lake","New Brunswick / Nouveau-Brunswick"
"69",-64.8090195461554,46.1111946702559,"Moncton--Riverview--Dieppe","Moncton--Riverview--Dieppe","Moncton--Riverview--Dieppe","New Brunswick / Nouveau-Brunswick"
"70",-66.6520708990054,45.5539978539142,"New Brunswick Southwest","New Brunswick Southwest / Nouveau-Brunswick-Sud-Ouest","Nouveau-Brunswick-Sud-Ouest","New Brunswick / Nouveau-Brunswick"
"71",-66.0379615109384,45.2791610861362,"Saint John--Rothesay","Saint John--Rothesay","Saint John--Rothesay","New Brunswick / Nouveau-Brunswick"
"72",-67.2401276957486,46.5699747068106,"Tobique--Mactaquac","Tobique--Mactaquac","Tobique--Mactaquac","New Brunswick / Nouveau-Brunswick"
"73",-73.1063678205866,55.7630160503774,"Abitibi--Baie-James--Nunavik--Eeyou","Abitibi--Baie-James--Nunavik--Eeyou","Abitibi--Baie-James--Nunavik--Eeyou","Quebec / Québec"
"74",-78.5337754592959,47.7991918376768,"Abitibi--Témiscamingue","Abitibi--Témiscamingue","Abitibi--Témiscamingue","Quebec / Québec"
"75",-73.6799287931504,45.5411149389644,"Ahuntsic-Cartierville","Ahuntsic-Cartierville","Ahuntsic-Cartierville","Quebec / Québec"
"76",-73.6634722264685,45.6455273135116,"Alfred-Pellan","Alfred-Pellan","Alfred-Pellan","Quebec / Québec"
"77",-74.9670803018084,45.8135197000859,"Argenteuil--La Petite-Nation","Argenteuil--La Petite-Nation","Argenteuil--La Petite-Nation","Quebec / Québec"
"78",-67.1354505951741,48.4337090585672,"Avignon--La Mitis--Matane--Matapédia","Avignon--La Mitis--Matane--Matapédia","Avignon--La Mitis--Matane--Matapédia","Quebec / Québec"
"79",-70.7339953456805,46.1576178045225,"Beauce","Beauce","Beauce","Quebec / Québec"
"80",-71.2113445943227,46.8578618127701,"Beauport--Limoilou","Beauport--Limoilou","Beauport--Limoilou","Quebec / Québec"
"81",-72.4924252579852,46.1883895141144,"Bécancour--Nicolet--Saurel","Bécancour--Nicolet--Saurel","Bécancour--Nicolet--Saurel","Quebec / Québec"
"82",-70.6000618182929,46.5829149842347,"Bellechasse--Les Etchemins--Lévis","Bellechasse--Les Etchemins--Lévis","Bellechasse--Les Etchemins--Lévis","Quebec / Québec"
"83",-73.20757651053,45.480685755684,"Beloeil--Chambly","Beloeil--Chambly","Beloeil--Chambly","Quebec / Québec"
"84",-73.191356497375,46.4195378267233,"Berthier--Maskinongé","Berthier--Maskinongé","Berthier--Maskinongé","Quebec / Québec"
"85",-73.8422649181605,45.6772652491472,"Thérèse-De Blainville","Thérèse-De Blainville","Thérèse-De Blainville","Quebec / Québec"
"86",-73.2602937105042,45.7120621164224,"Pierre-Boucher--Les Patriotes--Verchères","Pierre-Boucher--Les Patriotes--Verchères","Pierre-Boucher--Les Patriotes--Verchères","Quebec / Québec"
"87",-73.6330861020112,45.5974387713226,"Bourassa","Bourassa","Bourassa","Quebec / Québec"
"88",-72.6481581962878,45.1804365509352,"Brome--Missisquoi","Brome--Missisquoi","Brome--Missisquoi","Quebec / Québec"
"89",-73.4533485005002,45.4525623919543,"Brossard--Saint-Lambert","Brossard--Saint-Lambert","Brossard--Saint-Lambert","Quebec / Québec"
"90",-68.7266438800323,47.8880340058989,"Rimouski-Neigette--Témiscouata--Les Basques","Rimouski-Neigette--Témiscouata--Les Basques","Rimouski-Neigette--Témiscouata--Les Basques","Quebec / Québec"
"91",-71.3328821648224,46.9051802422565,"Charlesbourg--Haute-Saint-Charles","Charlesbourg--Haute-Saint-Charles","Charlesbourg--Haute-Saint-Charles","Quebec / Québec"
"92",-70.8829777019364,47.6401544030461,"Beauport--Côte-de-Beaupré--Île dOrléans--Charlevoix","Beauport--Côte-de-Beaupré--Île dOrléans--Charlevoix","Beauport--Côte-de-Beaupré--Île dOrléans--Charlevoix","Quebec / Québec"
"93",-73.5849346350637,45.2078424474204,"Châteauguay--Lacolle","Châteauguay--Lacolle","Châteauguay--Lacolle","Quebec / Québec"
"94",-70.5455264431283,48.2034823929317,"Chicoutimi--Le Fjord","Chicoutimi--Le Fjord","Chicoutimi--Le Fjord","Quebec / Québec"
"95",-71.6567234004096,45.3487406043656,"Compton--Stanstead","Compton--Stanstead","Compton--Stanstead","Quebec / Québec"
"96",-73.7232871220936,45.4550266198069,"Dorval--Lachine--LaSalle","Dorval--Lachine--LaSalle","Dorval--Lachine--LaSalle","Quebec / Québec"
"97",-72.4707412149443,45.8576470444267,"Drummond","Drummond","Drummond","Quebec / Québec"
"98",-65.3863930853556,48.7038313249685,"Gaspésie--Les Îles-de-la-Madeleine","Gaspésie--Les Îles-de-la-Madeleine","Gaspésie--Les Îles-de-la-Madeleine","Quebec / Québec"
"99",-75.6228459524915,45.5095384632405,"Gatineau","Gatineau","Gatineau","Quebec / Québec"
"100",-73.5472108991775,45.5660299917871,"Hochelaga","Hochelaga","Hochelaga","Quebec / Québec"
"101",-73.5638337190529,45.636369870009,"Honoré-Mercier","Honoré-Mercier","Honoré-Mercier","Quebec / Québec"
"102",-75.7853317044928,45.4237220569734,"Hull--Aylmer","Hull--Aylmer","Hull--Aylmer","Quebec / Québec"
"103",-73.9903504751388,46.6566205877374,"Joliette","Joliette","Joliette","Quebec / Québec"
"104",-70.6910962947154,50.2171024463541,"Jonquière","Jonquière","Jonquière","Quebec / Québec"
"105",-73.517251783955,45.6366291652415,"La Pointe-de-l'Île","La Pointe-de-l'Île","La Pointe-de-l'Île","Quebec / Québec"
"106",-73.538853059673,45.3607553850819,"La Prairie","La Prairie","La Prairie","Quebec / Québec"
"107",-72.5566890551627,49.5399936017991,"Lac-Saint-Jean","Lac-Saint-Jean","Lac-Saint-Jean","Quebec / Québec"
"108",-73.8812571254751,45.4435835542331,"Lac-Saint-Louis","Lac-Saint-Louis","Lac-Saint-Louis","Quebec / Québec"
"109",-73.6548583915516,45.4902903518076,"Mount Royal","Mont-Royal / Mount Royal","Mont-Royal","Quebec / Québec"
"110",-73.6210556823786,45.4734312745567,"Notre-Dame-de-Grâce--Westmount","Notre-Dame-de-Grâce--Westmount","Notre-Dame-de-Grâce--Westmount","Quebec / Québec"
"111",-80.4012258444471,43.4162194625067,"Kitchener South--Hespeler","Kitchener South--Hespeler / Kitchener-Sud--Hespeler","Kitchener-Sud--Hespeler","Ontario"
"112",-81.2592158020168,43.0144686770611,"London North Centre","London North Centre / London-Centre-Nord","London-Centre-Nord","Ontario"
"113",-79.2143626236694,42.9921356910446,"Niagara Centre","Niagara Centre / Niagara-Centre","Niagara-Centre","Ontario"
"114",-79.0855015382368,43.0469592841752,"Niagara Falls","Niagara Falls","Niagara Falls","Ontario"
"115",-79.4706408154329,43.0578999519181,"Niagara West","Niagara West / Niagara-Ouest","Niagara-Ouest","Ontario"
"116",-81.272333449957,47.0346090512415,"Nickel Belt","Nickel Belt","Nickel Belt","Ontario"
"117",-79.3365463840236,46.4779474054799,"Nipissing--Timiskaming","Nipissing--Timiskaming","Nipissing--Timiskaming","Ontario"
"118",-79.3210314705258,43.8346545535427,"Markham--Thornhill","Markham--Thornhill","Markham--Thornhill","Ontario"
"119",-79.3268706600504,43.8950507535164,"Markham--Unionville","Markham--Unionville","Markham--Unionville","Ontario"
"120",-78.101321081695,44.1441286253555,"Northumberland--Peterborough South","Northumberland--Peterborough South / Northumberland--Peterborough-Sud","Northumberland--Peterborough-Sud","Ontario"
"121",-79.6992600411527,43.4470993785832,"Oakville","Oakville","Oakville","Ontario"
"122",-75.7190123657181,45.395117171939,"Ottawa Centre","Ottawa Centre / Ottawa-Centre","Ottawa-Centre","Ontario"
"123",-75.5087524270161,45.4096900546546,"Orléans","Orléans","Orléans","Ontario"
"124",-75.6488477347662,45.3668558704455,"Ottawa South","Ottawa South / Ottawa-Sud","Ottawa-Sud","Ontario"
"125",-75.8274808423606,45.3614155700001,"Ottawa West--Nepean","Ottawa West--Nepean / Ottawa-Ouest--Nepean","Ottawa-Ouest--Nepean","Ontario"
"126",-80.7450557833093,43.1064864067559,"Oxford","Oxford","Oxford","Ontario"
"127",-79.741967666,44.5070230778356,"Barrie--Springwater--Oro-Medonte","Barrie--Springwater--Oro-Medonte","Barrie--Springwater--Oro-Medonte","Ontario"
"128",-77.24578190911,44.0126467491469,"Bay of Quinte","Bay of Quinte / Baie de Quinte","Baie de Quinte","Ontario"
"129",-79.306687937955,43.6895022179935,"Beaches--East York","Beaches--East York","Beaches--East York","Ontario"
"130",-79.7204151634282,43.7006343050975,"Brampton Centre","Brampton Centre / Brampton-Centre","Brampton-Centre","Ontario"
"131",-79.7001495895393,43.7744860594019,"Brampton East","Brampton East / Brampton-Est","Brampton-Est","Ontario"
"132",-79.7763029099342,43.7389785793057,"Brampton North","Brampton North / Brampton-Nord","Brampton-Nord","Ontario"
"133",-79.7564021486491,43.6645901815436,"Brampton South","Brampton South / Brampton-Sud","Brampton-Sud","Ontario"
"134",-79.8267539998118,43.6820509744758,"Brampton West","Brampton West / Brampton-Ouest","Brampton-Ouest","Ontario"
"135",-80.2360118267711,43.1143027504333,"Brantford--Brant","Brantford--Brant","Brantford--Brant","Ontario"
"136",-80.914853999042,44.4932684455532,"Bruce--Grey--Owen Sound","Bruce--Grey--Owen Sound","Bruce--Grey--Owen Sound","Ontario"
"137",-79.8205102565622,43.339465482727,"Burlington","Burlington","Burlington","Ontario"
"138",-80.3492339368563,43.3223941688158,"Cambridge","Cambridge","Cambridge","Ontario"
"139",-82.1873469942065,42.3107154279879,"Chatham-Kent--Leamington","Chatham-Kent--Leamington","Chatham-Kent--Leamington","Ontario"
"140",-79.3329711582613,43.7397179711656,"Don Valley East","Don Valley East / Don Valley-Est","Don Valley-Est","Ontario"
"141",-79.3753619407196,43.7284031818317,"Don Valley West","Don Valley West / Don Valley-Ouest","Don Valley-Ouest","Ontario"
"142",-79.4440448771724,43.6693786780621,"Davenport","Davenport","Davenport","Ontario"
"143",-79.3600166432927,43.7876106099931,"Don Valley North","Don Valley North / Don Valley-Nord","Don Valley-Nord","Ontario"
"144",-79.433832124199,43.7183112223608,"Eglinton--Lawrence","Eglinton--Lawrence","Eglinton--Lawrence","Ontario"
"145",-79.9839685775073,43.2573327525823,"Flamborough--Glanbrook","Flamborough--Glanbrook","Flamborough--Glanbrook","Ontario"
"146",-74.9320641368349,45.430260365989,"Glengarry--Prescott--Russell","Glengarry--Prescott--Russell","Glengarry--Prescott--Russell","Ontario"
"147",-80.2369350298618,43.5327776181942,"Guelph","Guelph","Guelph","Ontario"
"148",-80.1788752713904,42.8590823638171,"Haldimand--Norfolk","Haldimand--Norfolk","Haldimand--Norfolk","Ontario"
"149",-78.6593924728604,44.8277573656704,"Haliburton--Kawartha Lakes--Brock","Haliburton--Kawartha Lakes--Brock","Haliburton--Kawartha Lakes--Brock","Ontario"
"150",-79.8461130487521,43.2685017182873,"Hamilton Centre","Hamilton Centre / Hamilton-Centre","Hamilton-Centre","Ontario"
"151",-79.7406013933443,43.2308167393379,"Hamilton East--Stoney Creek","Hamilton East--Stoney Creek / Hamilton-Est--Stoney Creek","Hamilton-Est--Stoney Creek","Ontario"
"152",-79.8570685989189,43.2165386387604,"Hamilton Mountain","Hamilton Mountain","Hamilton Mountain","Ontario"
"153",-79.9682132234716,43.2354452713484,"Hamilton West--Ancaster--Dundas","Hamilton West--Ancaster--Dundas / Hamilton-Ouest--Ancaster--Dundas","Hamilton-Ouest--Ancaster--Dundas","Ontario"
"154",-73.7744397828498,45.6005314294959,"Marc-Aurèle-Fortin","Marc-Aurèle-Fortin","Marc-Aurèle-Fortin","Quebec / Québec"
"155",-72.7934371316686,45.6562170260397,"Saint-Hyacinthe--Bagot","Saint-Hyacinthe--Bagot","Saint-Hyacinthe--Bagot","Quebec / Québec"
"156",-73.3264966254597,45.2292537328557,"Saint-Jean","Saint-Jean","Saint-Jean","Quebec / Québec"
